T/R,Yordamchi so'z,Turkumi,Xalqaro tegi,O'zbekcha tegi,sof/vazifadosh,shakli,ma'no turi ,uslubiy xoslanishi,sof  turkumi, Yordamchi so'z ishtirok etgan gaplar va olingan manbaa.
1, -a   I ,yuklama,part,Yukl,sof yukl,qo'shimchasimon,so'roq,so'zlashuv,," - Qizim, bugun mehmonlaringni Sultonxonlarnikiga olib chiqasan-a?  Cho'lpon, Kecha va kunduz."
2, -a   II,bog'lovchi,bog'l,Bog'l,vaz.bog'l,qo'shimchasimon,zidlov ,so'zlashuv,yuklama,"""Xo'sh, va'dang qancha? - ""Qirq sentnerdan"". ""A qizlar-chi?"" - ""Yuz"". Oybek, Oltin vodiydan shabadalar."
3,Agar I,yuklama,part,Yukl,sof yukl,so'z shaklda,shart,betaraf,bog'lovchi,"Agar u kelgan bo'lsa, o'zini bildirgan bo'lar edi.Oybek. Tanlangan asarlar"
4,Agar II,bog'lovchi,conj,Bog'l,vaz.bog'l,so'z shaklda,shart,betaraf,yuklama,"Agar arqondan qo'llari chiqib ketsa, to tuman tarqalguncha yo'l topa olmay sarson bo'lib yuraveradilar.S.Ahmad."
5,Agarchi,bog'lovchi,conj,Bog'l,sof bog'l,so'z shaklda,shart,badiiy,,"Agarchi sensizin sabr aylamak, ey yor, mushkuldur. Z.M.Bobur."
6,Agarda,bog'lovchi,conj,Bog'l,sof bog'l,so'z shaklda,shart,so'zlashuv,,Agarda avval boshdanoq kattalarning gapiga quloq tutganimizda bunday ayanchli holga tushmasdik.
7,Ayni,yuklama,part,Yukl,vaz.yukl,so'z shaklda,o'xshatish,so'zlashuv,olmosh,"Chol ayni savolni Matyunusga ham berdi M.Ismoiliy, Farg'ona tong otguncha."
8,Aynan ,yuklama,part,Yukl,sof yukl,so'z shaklda,o'xshatish,so'zlashuv,ravish,Otasining aynan o'zi.
9,Ammo,bog'lovchi,conj,Bog'l,sof bog'l,so'z shaklda,zidlov ,kitobiy,,"Mayli , siz yashirdingiz. Ammo men yashirmayman."
10,Ammo II ,yuklama,part,Yukl,vaz.yukl,so'z shaklda,ta'kid ,so'zlashuv,bog'l,Ammo rossa vaqtida kelibmiz-da.
11,Ammo-lekin,yuklama,part,Yukl,vaz.yukl,so'z shaklda,ta'kid ,badiiy,,"Ammo-lekin Esh qattiq ishladi.S.Ahmad.""Ufq"""
12,Ana,yuklama,part,Yukl,vaz.yukl,so'z shaklda,ta'kid ,so'zlashuv,olmosh,"Ana ko'rdingmi, nima bo'ldi? Ana endi, sendan keladigan ish shu-da. S.Ahmad.Ufq."
13,Aqalli,yuklama,part,Yukl,sof yukl,so'z shaklda,ta'kid ,so'zlashuv,,"Nigoraning beparvogina qaytargan javobi yuzida aqalli qilday ham o'zgarish sezilmagani Xo'jabekovning g'azabini qaynatdi.S.Anorboyev, Oqsoy."
14,Arafasida,ko'makchi,post,Ko'm,vaz.ko'm,so'z shaklda,"payt,zamon",so'zlashuv,ot,"Navro'z arafasida keksalar oq kiyim tayyorlashadi, yoshlar rang-barang gulli ko'ylaklar tiktirishadi.Saodat."
15,Aro ,ko'makchi,post,Ko'm,vaz.ko'm,so'z shaklda,o'rin-joy,kitobiy,ot,Oh urib maydon aro Rustam kabi solsam urush. Nurali
16,Aslo,yuklama,part,Yukl,vaz.yukl,so'z shaklda,inkor ,publisistik,,"Onam go'rida tinch yotsin desanglar, Qumrini aslo yolg;izlatib qo'ymanglar. S.Ahmad, Qorako'z majnun."
17,Asti,yuklama,part,Yukl,vaz.yukl,so'z shaklda,inkor ,kitobiy,,"Vatan ishqida yongan qalb, Bilingki, asti xor bo'lmas. E.Vohidov, Ishq savdosi."
18,Asnoda,ko'makchi,post,Ko'm,vaz.ko'm,so'z shaklda,"vaqt,payt",kitobiy,,"Shu asnoda Risolat Rustamga baqamti kelib, uning chap kifti bilan tirsagi o'rtasidan ushladi. Q.Kenja, Toshqin"
19,Asnodan,ko'makchi,post,Ko'm,vaz.ko'm,so'z shaklda,"vaqt,payt",kitobiy,,Shu asnodan boshqacha yo'l tutamiz.Gazetadan
20,Asosan ,ko'makchi,post,Ko'm,vaz.ko'm,so'z shaklda,"sabab, asos",betaraf,ravish,Tegishli buyruqqa asosan ishdan bo'shatildi. Gazetadan
21,Asosiga,ko'makchi,post,Ko'm,vaz.ko'm,so'z shaklda,"sabab, asos",kitobiy,ot,Muhabbatdan ko'ra bir-birini tushunish asosiga qurilgan oila mustahkamroqdir. Chunki…
22,Asosida ,ko'makchi,post,Ko'm,vaz.ko'm,so'z shaklda,"sabab, asos",kitobiy,,Dori-darmonni shifokor yo'riqnomasi asosida ishlating.Gazetadan
23,Atab,ko'makchi,post,Ko'm,vaz.ko'm,so'z shaklda,atalganlik,badiiy,fe'l,"O'zbek oyimning qutidor, Oftob oyim va Oysha kampirga atab tiktirgan sarupolari ham bitdi.A.Qodiriy.O'tkan kunlar."
24,Atrofiga,ko'makchi,post,Ko'm,vaz.ko'm,so'z shaklda,o'rin,kitobiy,ot,Notiqning ma'ruzasi mavzuning atrofiga ham yaqinlashmadi. 
25,Atrofida,ko'makchi,post,Ko'm,vaz.ko'm,so'z shaklda,chama ,so'zlashuv,ot,Shu  ikki fikr atrofida munozara juda qizib ketdi. A.Qahhor.Qo'shchinor chiroqlari.
26,Atigi,yuklama,part,Yukl,vaz.yukl,so'z shaklda,ayiruv-chegaralov,so'zlashuv,ravish,"Qozi pochcham tush ko'rsalar, atigi  uchtagina qolgan so'yloq "
27,Avval,ko'makchi,post,Ko'm,vaz.ko'm,so'z shaklda,payt,betaraf,ravish,Mana so'nggi xotira: ikki yarim yil avval mehribon ona uni shaharga uzatdi. Oybek. Tanlangan asarlar.
28,Avvalroq,ko'makchi,post,Ko'm,vaz.ko'm,so'z shaklda,payt,so'zlashuv,ravish,"Dadamni bir yilga qamashgan ekan, boshliqlari insofliroq bo'lsa kerak, oilangda bayram qila qol, deb muddatidan avvalroq bo'shatib yuborishibdi…A.Obidjon, Oddiy ayriliq haqida ertak."
29,Ayniqsa,yuklama,part,Yukl,vaz.yukl,so'z shaklda,kuchaytiruv,so'zlashuv va kitobiy,modal so'z,Atom energiyasidan foydalanishning istiqboli ayniqsa kengdir
30,Axir,yuklama,part,Yukl,vaz.yukl,so'z shaklda,kuchaytiruv,so'zlashuv,modal,"Axir men muhabbatimni ehtiyot qilolmagan, yolg'iz yaxshi ko'rish bilan kifoyalanib yurgan odamman-ku!O'.Hoshimov, Xayollarga bo'laman tutqun."
31,Bale ,yuklama,part,Yukl,sof yukl,so'z shaklda,tasdiq yuklamasi,badiiy,,"Furqatiy qosh-u ko'zingdan fitnalar ko'rdi, bale..Furqat"
32,Balki,bog'lovchi,conj,Bog'l,vaz.bog'l,so'z shaklda,zidlov ,so'zlashuv,modal so'z,"U sodiq qul, balki undan battar odam edi.Oybek. Tanlangan asarlar."
33,Balkim ,bog'lovchi,conj,Bog'l,vaz.bog'l,so'z shaklda,zidlov ,kitobiy,modal so'z.,"Qalbi pok ishq ahlining vijdoni, balkim jonidir.Habibiy"
34,Balli,yuklama,part,Yukl,vaz.yukl,so'z shaklda,kuchaytiruv,so'zlashuv,undov,"  - Ko'chada sen bilan yetaklashib yuradigan xotinga balli-yey! - dedi Zumrad.S.Siyoyev, Otliq ayol."
35,Bamisoli,yuklama,part,Yukl,sof yukl,so'z shaklda,o'xshatish,badiiy,      - ,"Aql va madaniyat, haq va adolat bamisoli oftob: uni to'sish va yo'qotish mumkin emas. A.Hakimov. Ilon izidan "
36,Baravariga,ko'makchi,post,Ko'm,vaz.ko'm,so'z shaklda,evaz,kitobiy,ravish,"Bir tanob yerdan oltmish pud paxta olib, naqd pul baravariga hukumatga topshiradi. A.Qodiriy, G'irvonlik Mallavoy. "
37,Baravarida,ko'makchi,post,Ko'm,vaz.ko'm,so'z shaklda,"tenglik, birgalik betaraf",kitobiy,"sifat, ravish","Shu maqola baravarida ma'lum qilamanki, sud Ibrohimov mendan pora so'ragani yolg'on.A.Qahhor, Sarob"
38,Badaliga,ko'makchi,post,Ko'm,vaz.ko'm,so'z shaklda,evaz,so'zlashuv,ot,"Ammo buning badaliga, yuqoridagi mollardan tashqari bir tanob yerdan oltmish pud paxta olib…A.Qodiriy, G'irvonlik Mallavoy. "
39,Badalida,ko'makchi,post,Ko'm,vaz.ko'm,so'z shaklda,vaqt,badiiy,ot,"Ikki yil badalida otamning topib-tutib to'lagani qarzining foydasinigina qoplay oldi .F.Rasul, Adolat."
40,Bad`az ,ko'makchi,post,Ko'm,vaz.ko'm,so'z shaklda,vaqt,badiiy,ravish,"Bizdan ba'daz salom, dil mehri bilan, Yurtdoshlik quvonchin zo'r mehri bilan. G'.G'ulom"
41,Ba`zan,bog'lovchi,conj,Bog'l,vaz.bog'l,so'z shaklda,payt,so'zlashuv,ravish,"Ba'zan Qoratoyning ishxonasida, ba'zan choyxonada tunab yurdi.Oybek.Tanlangan asarlar."
42,Basharti,yuklama,part,Yukl,sof yukl,so'z shaklda,shart,kitobiy,     - ,"Basharti arizada bitilgan gaplar rost bo'lganda ham seni ayblashga ko'nglim bo'lmaydi.Cho'lpon.""Kecha va kunduz"""
43,Bag'oyat,yuklama,part,Yukl,vaz.yukl,so'z shaklda,kuchaytiruv,badiiy,ravish,"Sirsiz hayot senga bag'oyat mushkul, Yuragingda yashar itoatli qul.E.Vohidov, Umrim daryosi. "
44,Baayni,yuklama,part,Yukl,vaz.yukl,so'z shaklda,o'xshatish,badiiy,ravish,"Xullasi kalom, bu birinchi uylanishim anvoyi tashvish va to'polon birlan baayni tushdagidek bo'lib o'tdi. A.Qodiriy, G'irvonlik Mallavoy. "
45, -bek,yuklama,part,Yukl,sof yukl,qo'shimchasimon,erkalash,so'zlashuv,," Anvarbek, sal pastga tushing, burningizdan naryog'ini ko'zingiz ko'rmay qolyapti-ku! So'zlashuvdan"
46,Beri,ko'makchi,post,Ko'm,vaz.ko'm,so'z shaklda,payt,so'zlashuv,ravish,"Institutga kirgandek beri Kozimjon orqasidan soyadek ergashib yuribdi.  T.Ashurov, Oq ot.  "
47,Beriga,ko'makchi,post,Ko'm,vaz.ko'm,so'z shaklda,o'rin,so'zlashuv,ravish,"Qamalgan kunimdan beriga undan xabarim yo'q taqsir! A.Qodiriy, O'tkan kunlar"
48,Berida ,ko'makchi,post,Ko'm,vaz.ko'm,so'z shaklda,o'rin,so'zlashuv,ravish,"Maston yuqoriroqqa chiqib, dasht tomonga qaradi. Ufqdan berida o'rgimchakday o'rmalab arava kelar edi. A.Qahhor, Maston."
49,Bila,bog'lovchi,conj,Ko'm,sof ko'm,so'z shaklda,birgalik,badiiy, - ,"Bu shaklu shamoyil bila xud huru pariysen, Kim, jinsi bashar ichra bu miqdor topilmas. Z.M.Bobur."
50,Bilan I,bog'lovchi,conj,Bog'l,vaz.bog'l,so'z shaklda,tenglik,so'zlashuv, - ,"Bular ko'zdan g'oyib bo'lgandan keyin, Kanizak bilan Siddiqjon butaning orqasidan chiqishdi. A.Qahhor, Qo'shchinor chiroqlari."
51,Bilan II,ko'makchi,post,Ko'm,sof ko'm,so'z shaklda,birgalik,kitobiy, - ,"Oshning ta'mi tuz bilan, odam ta'mi so'z bilan. Maqol"
52,Binoan,ko'makchi,post,Ko'm,sof ko'm,so'z shaklda,asos,kitobiy,,"Qulluq, chaqirganingizga binoan xizmatingizga keldik, nima deysiz. Luqmoni Hakim."
53,Bir  I,bog'lovchi,conj,Bog'l,vaz.bog'l,so'z shaklda,ayiruv-chegaralov,so'zlashuv ,son,"Bu gapga chindan ishongan Nilufar taajjublanib, bir akasiga, bir mushukka qaradi. S.Ahmad, Yulduz."
54,Bir  II,yuklama,part,Yukl,vaz.yukl,so'z shaklda,kuchaytiruv-ta'kid,so'zlashuv,son,"Hamma rozi bo'ldi, bir men rozi bo'lmadim."
55,Biram,yuklama,part,Yukl,sof yukl,so'z shaklda,kuchaytiruv-ta'kid,badiiy,," - Voy, shirinim-ey, rahmatli otangga o'xshab senham biram mehribonsanki, tillaring ham biram shirinki. X.To'xtaboyev, Jannati odamlar."
56,Birla,ko'makchi,post,Ko'm,sof.ko'm,so'z shaklda,birgalik,badiiy,,"Agarchi sensizin sabr aylamak, ey yor, mushkuldur, Sening birla chiqishmoqlik dag'i bisyor mushkuldur. Z.M.Bobur."
57,Birgina ,yuklama,part,Yukl,vaz.yukl,so'z shaklda,ayiruv-chgaralov,so'zlashuv,son,"Agar hayotimizning barcha maqsad-mazmuni oiladagi shaxsiy baxtimizdan iborat bo'lganida, shaxsiy baxtimiz birgina oiladagi muhabbatda o'z ifodasini topganda edi, unda hayot deganlari chindan ham qop-qorong'u sahroga aylanib qolgan bo'lar edi. T.Malik, Odamiylik mulki."
58,Biroq,bog'lovchi,conj,Bog'l,sof.bog'l,so'z shaklda,zidlov ,kitobiy, - ,"Garajda mashinam bor,  biroq uni yurgizadigan odam yo'q. S.Ahmad. Mukammal inson suvrati."
59,Birdan bir ,yuklama,part,Yukl,vaz.yukl,so'z shaklda,ayiruv-chegaralov,kitobiy,son,"Birdan bir maqsadim: olib keting men sho'rlikni! Yoringiz bo'lmasam, cho'ringiz bo'lay. O.Yoqubov,Avlodlarga vasiyat"
60,Birda,bog'lovchi,conj,Bog'l,vaz.bogl,so'z shaklda,ayiruv,kitobiy,son," Birda shukr, birda fikr qildik biz."
61,Birga,ko'makchi,post,Ko'm,vaz.ko'm,so'z shaklda,birgalik,,son,Shu bilan birga ko'rsatilgan nomzodlar ham tasdiqlandi.Gazetadan
62,Bitta,yuklama,part,Yukl,vaz.yukl,so'z shaklda,ayiruv-chegaralov,so'zlashuv,son,"Mana, siz bitta o'zingiz o'ttiz ikkita mashinaga qarar emishsiz. A.Qahhor, Yillar."
63,Bo,ko'makchi,part,Ko'm,sof.ko'm,so'z shaklda,birgalik,badiiy,," -Ota - bu singlim, tabassum bilan dedi Yo'lchi, - qishloqdan olib kelganimni eshitgandingiz. Boynikida yashashini ma'qul ko'rmadim. - [Shokir ota] Yaxshi qilibsan:""Kabutar bo kabutar, jins bo jins"" Oybek Tanlangan asarlar. O'TIL. 1-tom. 290-s."
64,Bobida,ko'makchi,post,Ko'm,vaz.ko'm,so'z shaklda,mavzu ma'nosi,badiiy,ot,Ul qizi husn bobida yakka-yu yagona edi.Usmon baxshi Mamat o'g'li. Bo'tako'z
65,Bois,ko'makchi,post,Ko'm,vaz.ko'm,so'z shaklda,"sabab, asos",kitobiy,ot,Mashg'ulot o'z vaqtida boshlanmagani bois talabalar xonadan chiqib ketgan edi.Gazetadan
66,Boisi,ko'makchi,post,Ko'm,vaz.ko'm,so'z shaklda,"sabab, asos",kitobiy,ot,Xulq-atvor boisidan aziyat chekmang. Hikmatli so'z.
67,Borada,ko'makchi,post,Ko'm,sof.ko'm,so'z shaklda,mavzu ma'nosi,badiiy,,"Xuddi shu borada o'rtoq Nurmuhammedov bilan janjallashib o'tirgan edik. ""Mushtum"""
68,Borasida,ko'makchi,post,Ko'm,sof.ko'm,so'z shaklda,mavzu ma'nosi,badiiy,,"U dehqon ko'ngliga ma'qul tushgan yangi nav borasida so'zlardi. S.Mahkamov, Dehqon quvonchi."
69,Bordi-yu,yuklama,part,Yukl,vaz.yukl,so'z shaklda,shart,kitobiy,fe'l,"Bordi-yu, ajdodida bo'lsa to'qqizga to'lganda tarlon bo'ladi. T.Murod, Ot kishnagan oqshom."
70,Bor-yo'g'i,yuklama,part,Yukl,vaz.yukl,so'z shaklda,ayiruv-chegaralov,so'zlashuv,jamlovchi ot,"Biz bor-yo'g'I uch jonmiz,uch kosa yetadi. S.Siyoyev, Yorug'lik"
71,Bori,yuklama,part,Yukl,sof yukl,so'z shaklda,ayiruv-chegaralov so'zlashuv,so'zlashuv,,Aytadigan gapingning bori shumi? So'zlashuvdan.
72,Boshiga,ko'makchi,post,Ko'm,vaz.ko'm,so'z shaklda,o'rin-joy,so'zlashuv,"ot,sifat","Bitar ishning boshiga, yaxshi kelar qoshiga. Maqol."
73,Boshida ,ko'makchi,post,Ko'm,vaz.ko'm,so'z shaklda,o'rin-joy,so'zlashuv,"ot,sifat","Ayollar ko'prik boshida chapak chalib, tizzalarini urib chinqirishdi.Oybek, Tanlangan asarlar."
74,Boshidan,ko'makchi,post,Ko'm,vaz.ko'm,so'z shaklda,o'rin-joy,so'zlashuv,"ot,sifat","Haydar ota shu bahona bilan u yoq, bu yoqni ham bir ko'ray deb, aylanishroq bo'lsa ham, bozor boshidan yurdi.A.Qahhor, Asarlar."
75,Boshlab,ko'makchi,post,Ko'm,vaz.ko'm,so'z shaklda,payt,so'zlashuv,fe'l,"Shu kundan boshlab u ham raisning oldida to'ng'illab gapiradigan bo'lib qoldi. ""Mushtum""."
76,Boshqa,ko'makchi,post,Ko'm,vaz.ko'm,so'z shaklda,ayiruv-chegaralov,so'zlashuv,ravish," - Menga qolsa, o'rtada shundan boshqa hech gap yo'q, o'g'lim - dedi [hoji]. A.Qodiriy, O'tkan kunlar."
77,Bog'liq ,ko'makchi,post,Ko'm,vaz.ko'm,so'z shaklda,tegishlilik,so'zlashuv,sifat, Ishimizning aniq raqamlarga bo'gliq sahifalarida xatoliklar bo'lmasligi lozim. Gazetadan
78,Buyon,ko'makchi,post,Ko'm,vaz.ko'm,so'z shaklda,payt,badiiy, - ,"Ko'p yillardan buyon niyat va orzularda, xayol kengliklarida bo'y ko'rsatgan go'zal asarni yaratish uchun barcha hozirliklar ko'rib bo'lingan edi go'yo. I.Sulton, Alisher Navoiy. "
79,Burun ,ko'makchi,post,Ko'm,vaz.ko'm,so'z shaklda,payt,so'zlashuv,ravish,"Men-chi?Men bu yerda undan burun o'lib qolaman-ku.O.Yoqubov, Bir koshona sirlari."
80,Bo'lsa,bog'lovchi,conj,Bog'l,vaz.bog'l,so'z shaklda,zidlov ,so'zlashuv,fe'l,"Haqqush bo'lsa to'xtovsiz sayrar, yoz shabadasida uning ovozi goh sekin, goh baralla eshitilardi. O'Hoshimov, Qalbingga quloq sol. "
81,Bo'lgani ,yuklama,part,Yukl,vaz.yukl,so'z shaklda,,so'zlashuv,fe'l," - Xurshid, jon do'stim, hech narsa qilib qo'yganim yo'q, uyimda bir kun tinchgina o'tiraman degan edim, bo'lgani shu, sizlar bo'lsa…A.A'zam,Nima qilib qo'ygan ekanman."
82,Bo'yi,ko'makchi,post,Ko'm,vaz.ko'm,so'z shaklda,payt,badiiy,ot,"Shu bo'yi bir hafta Me'mor uydan chiqmadi. Mirmuhsin, Me'mor."
83,Bo'yiga,ko'makchi,post,Ko'm,vaz.ko'm,so'z shaklda,o'rin-joy,badiiy,ot,"Rixsi xola nafasini rostlash uchun ariq bo'yiga cho'nqaydi. S.Zununova, Olov"
84,Bo'yida,ko'makchi,post,Ko'm,vaz.ko'm,so'z shaklda,o'rin-joy,badiiy,ot,Salomatligini sovurayotgan odam ariq bo'yida suv qadrini bilmay o'tirgan kishiga o'xshaydi. Gazetadan.
85,Bo'yidan,ko'makchi,post,Ko'm,vaz.ko'm,so'z shaklda,o'rin-joy,badiiy,ot,Ularning yo'li kanal bo'yidan o'tardi.
86,Bo`yicha ,ko'makchi,post,Ko'm,vaz.ko'm,so'z shaklda,tegishlilik,rasmiy, - ,Savodsizlikni tugatish bo'yicha o'qish bir qadar yo'lga tushib qoldi. K.Yashin. Hamza
87,Bo'lak,ko'makchi,post,Ko'm,vaz.ko'm,so'z shaklda,ayiruv-chegaralov,so'zlashuv,ot,"Insof bilan aytganda, do'konda odamning jonidan bo'lak hamma narsa bor. O'.Hoshimov, Tushda kechgan umrlar."
88,Bo`ylab,ko'makchi,post,Ko'm,vaz.ko'm,so'z shaklda,o'rin-joy,so'zlashuv,fe'l,Oyoqqa yelimday yopishayotgan so'qmoq bo'ylab ketishdi.O'.Hoshimov. Qalbingga quloq sol
89, -da I,yuklama,part,Yukl,sof yukl,qo'shimchasimon,kuchaytiruv-ta'kid,so'zlashuv,,"Baraka topkur, zap fayzli ayol-da, Bemorning og'rig'ini ikki og'iz so'z bilan tuzatvoradi-ya. S.Ahmad, Azroil o'tgan yo'llarda."
90, -da I,yuklama,part,Yukl,sof yukl,qo'shimchasimon,so'roq ,so'zlashuv,," Sartarosh bo'lay debsiz-da, a? E.Raimov, Ajab qishloq."
91, -da III,bog'lovchi,part,Bog'l,vaz.bog'l,qo'shimchasimon,biriktiruv,so'zlashuv,yuklama,"Yodgor yon-veriga alanglab, bo'shab qolganini ko'rdi-da, darrov o'rnidan turdi. O'.Hoshimov, Qalbingga quloq sol."
92, -da IV,bog'lovchi,conj,Bog'l,vaz.bog',qo'shimchasimon,zidlov ,kitobiy,yuklama,"Bu hukm garchi boshqa bir paytda qaror topgan taomil mezoniga muvofiq kelmasa-da, shu topda adolatli va insonparvar edi.N.Eshonqul, Urush odamlari."
93,Dam,bog'lovchi,conj,Bog'l,vaz.bog'l,so'z shaklda,ayiruv-chegaralov,kitobiy,ot,"Suv dam oqizib ketadi, dam chetga otadi. S.Ahmad, Ufq."
94,Dastidan,ko'makchi,post,Ko'm,vaz.ko'm,so'z shaklda,sabab,so'zlashuv,ot,"Rost, akasi uning dastidan qamaldi"
95,Darajada,ko'makchi,post,Ko'm,vaz.ko'm,so'z shaklda,kuchaytiruv,kitobiy,ot,"Sovuq shu darajada ediki, biron pana joyga yashirinmasa chidab bo'lmas edi. S.Ahmad, Kiprikda qolgan tong."
96,Davomiga,ko'makchi,post,Ko'm,vaz.ko'm,so'z shaklda,payt,so'zlashuv,ot,Shuncha yaxshiliklaringiz davomiga meni maqtab ham qo'yganingizdan xijolatdaman.Gazetadan
97,Davomida,ko'makchi,post,Ko'm,vaz.ko'm,so'z shaklda,payt,so'zlashuv,ot,Saodatxon ikkinchi chorak davomida qilinadigan ishlarni batafsil so'zlab berdi. S.Zununova. Olov.
98,Dim (shv),yuklama,part,Yukl,vaz.yukl,so'z shaklda,inkor ,so'zlashuv,sifat,"Ichkari kir, yota bergin joyingga, dim ularga qaray ko'rma, chirog'im. ""Ravshan"" [aslo, sira ma'nolarida]"
99,Deb,bog'lovchi,conj,Bog'l,vaz.bog'l,so'z shaklda,sabab-maqsad,badiiy,fe'l,"Har kishi ter to'kib qiladi mehnat, xalqimning turmushi obod bo'lsin deb.G.'G'ulom"
100,Deb,ko'makchi,post,Ko'm,vaz.ko'm,so'z shaklda,atalganlik,so'zlashuv,fe'l,Yorimga deb qiyiq oldim -  bezakdor. Xalq qo'shiqlari.
101, -dek,ko'makchi,post,Ko'm,sof ko'm,qo'shimchasimon,o'xshatish-qiyoslash,badiiy, - ,"Ul nasihat uchun og'iz ochsa vujudim erib ketgandek va bir turluk uxlab huzurlangandek.A.Qodiriy, O'tkan kunlar."
102, -day,ko'makchi,post,Ko'm,sof ko'm,qo'shimchasimon,o'xshatish-qiyoslash,badiiy, - ,"Anavi to'ng'ich akangizning qo'ylari bo'lmaydi! Bari o'ziday kaltafahm! T. Murod, Ot kishnagan oqshom."
103, -dayin,ko'makchi,post,Ko'm,sof ko'm,qo'shimchasimon,o'xshatish-qiyoslash,badiiy, - ,"Yoq dema so'zlarimga, Yo'q ketma o'zgalarga, Yo'q go'zal sendayin olam ichra, ishon. Qo'shiqdan"
104,Deya ,ko'makchi,post,Ko'm,vaz.ko'm,so'z shaklda,sabab,badiiy,fe'l,Yurt deya qon kechdilar ne tilla boshlar. Xalq qo'shiqlari
105,Degan,ko'makchi,post,Ko'm,vaz.ko'm,so'z shaklda,atalganlik,so'zlashuv,fe'l,"Sevgi degan bu bir balo, Meni qayding etdi mubtalo.Xaql qo'shig'i"
106,Deganda,ko'makchi,post,Ko'm,vaz.ko'm,so'z shaklda,payt,so'zlashuv,fe'l,"Ikki yil deganda uni o'shatdagi sahroda yo'qolganini aytishdi. O'.Umarbekov, Ota va o'g'il."
107,Deguncha,ko'makchi,post,Ko'm,vaz.ko'm,so'z shaklda,payt,so'zlashuv,fe'l,"Bo‘shadi deguncha deraza qarshisida mixlangancha o‘tiradigan, uzun-uzun xayollar suradigan sherigini Hasan o‘ng‘ay har fursatda bir yanib oladi.U.Hamdam, Musulmon. "
108, -dir,yuklama,part,Yukl,sof yukl,qo'shimchasimon,gumon,so'zlashuv,," -Qazisan, qartasan, axir  aslingga tortasan, - dedi kampir omborni qulflayotib, - … Uvada, isliqi to'n, chilvir belbog'ning xumorisi tutgandir! A.Qahhor, Qo'shchinor chiroqlari."
109,Dovur ,ko'makchi,post,Ko'm,vaz.ko'm,so'z shaklda,chegara,so'zlashuv, - ,"Tongga dovur soz bilan, Qo'shiq aytdim sen uchun. Folklor"
110,Doir,ko'makchi,post,Ko'm,vaz.ko'm,so'z shaklda,tegishlilik,kitobiy, - ,"Jaloliddin buvisi bilan salom-alik, hol-ahvol so'rashardi-yu, mudofaa va davlat ishlariga doir biron gap aytmasdi. Mirmuhsin, Temur Malik."
111,Doirasida,ko'makchi,post,Ko'm,vaz.ko'm,so'z shaklda,asoslanganlik,so'zlashuv,fe'l,Maqola Khan Academy oʻzbek loyihasi doirasida tarjima qilingan. https://sinaps.uz/maqola/12785/
