T/R,Yordamchi so'z,Turkumi,Xalqaro tegi,O'zbekcha tegi,sof/vazifadosh,shakli,ma'no turi ,uslubiy xoslanishi,sof  turkumi, Yordamchi so'z ishtirok etgan gaplar va olingan manbaa.
324,Tomonga,ko'makchi,post,Ko'm,vaz.ko'm,so'z shaklda,yo'nalish,so'zlashuv,ot,"Oshiqbola bilan Oytumorning qarindosh-urug'lari olislik qilib bu marosimga ularni ayta olishmagani sababli, Meshpolvonning dadasi kuyov tomonga, onasi kelin tomonga mutasaddi bo'ldi…A.Obidjon, Meshpolvonning janglari."
325,Tomonda,ko'makchi,post,Ko'm,vaz.ko'm,so'z shaklda,yo'nalish,so'zlashuv,ot,"Men tomonda bo'lsa yorim, yovlar menga qo'rqinchmas. Qo'shiqdan."
326,Tomondan,ko'makchi,post,Ko'm,vaz.ko'm,so'z shaklda,o'rin-joy,so'zlashuv,ot,"Bir tomondan ferma mudiri…uning o'rnida siz bo'lsangiz-u, ko'z oldingizda boshi ochiq bir juvon qilpillab yursa… E, sodda ekansiz, uka!A.Qahhor, Qo'shchinor chiroqlari."
327,Tomonidan,ko'makchi,post,Ko'm,vaz.ko'm,so'z shaklda,o'rin-joy,so'zlashuv,ot,Ammo olamshumul bu kashfiyot ilmiy kengash tomonidan yetarli baholanmaganga o'xshaydi. X.To'xtaboyev. Shirin qovunlar mamlakati
328,Tortib,ko'makchi,post,Ko'm,vaz.ko'm,so'z shaklda,payt,so'zlashuv,fe'l,"Oyog'imdan tortib basharamgacha qonga bo'yaldim. G'.G'ulom, Shumbola"
329,Tubiga,ko'makchi,post,Ko'm,vaz.ko'm,so'z shaklda,o'rin-joy,kitobiy,ot,Shu ishning tubiga yetish uchun qancha harakat qildi. Gazetadan
330,Tubida,ko'makchi,post,Ko'm,vaz.ko'm,so'z shaklda,o'rin-joy,kitobiy,ot,"Bu so'zlarning tubida juda katta rashk borligini sezdim. M.Qoriyev, Oydin kechalar."
331,Tufayli,ko'makchi,post,Ko'm,vaz.ko'm,so'z shaklda,sabab,kitobiy,sifat,"O'n qadoq jo'xori tufayli shu ko'yga tushaman, deb Avaz sira o'ylamagan edi.S.Siyoyev, Avaz."
332,Tushkur,yuklama,part,Yukl,sof yukl,so'z shaklda,kuchaytiruv,so'zlashuv,,"Biroq qizi tushkurning husnimi, shirin so'zlarimi, harqalay, G'iyosiddinning til-jag'ini bog'lab, qulog'ini kar, ko'zini ko'r qilib qo'ygan edi.S.Ahmad, Hukm."
333,Tugul ,yuklama,part,Yukl,sof yukl,so'z shaklda,inkor ,so'zlashuv,,"Jon shunaqa shirin narsaki, oshna-og'ayni tugul, ota-onadan tondiradi! Shuhrat, Oltin zanglamas."
334,Tushmagur,yuklama,part,Yukl,sof yukl,so'z shaklda,kuchaytiruv,so'zlashuv,,Qiz tushmagur o'yinga usta ekan
335,To`g`rida,ko'makchi,post,Ko'm,vaz.ko'm,so'z shaklda,mavzu ma'nosi,so'zlashuv,sifat,"Bu to'g'rida maktab direktori, o'qituvchilar gapirsa, o'zimga olmas edim. A.Qahhor"
336,To`g`risida,ko'makchi,post,Ko'm,vaz.ko'm,so'z shaklda,mavzu ma'nosi,so'zlashuv,sifat,"Sho'rolar tomoniga o'tgan deyarli barcha bosmachilar umumiy afv to'g'risida dekret bo'lishiga qaramay, otib tashlandilar, eski maktablar, madrasalar tez orada bekitildi.""O'zbekiston tarixi"""
337,To`g`risidan,ko'makchi,post,Ko'm,vaz.ko'm,so'z shaklda,mavzu ma'nosi,so'zlashuv,sifat,Pul to'g'risidan biroz qiynalib qolibdi.
338,To'g'ringizda,ko'makchi,post,Ko'm,vaz.ko'm,so'z shaklda,mavzu ma'nosi,so'zlashuv,sifat,"Sizni sirtdan tanirdim, siz to'g'ringizda ko'p eshitganman. K.Yashin, Hamza."
339, -u   I,yuklama,part,Yukl,sof yukl,qo'shimchasimon,kuchaytiruv-ta'kid,so'zlashuv,,Hammasiga aybdor o'zing-u! Yana to's-to'poloningga balo bormi? 
340, -u    II,bog'lovchi,conj,Bog'l,vaz.bog'l,qo'shimchasimon,biriktiruv,kitobiy,,"Ularning eng avvali, albatta, xalq-u Vataningdir! Undan so'ngra, balkim, ustoz-u shogirdlar. N.Jabborov,She'riyat aslida hikmatdir."
341,Ustiga,ko'makchi,post,Ko'm,vaz.ko'm,so'z shaklda,o'rin-payt,kitobiy,ot,"Mazkur sifatlarga ega bo'lgan odamlar uchun barcha noz-ne'mat, rohat-farog'atlar ustiga Alloh taolodan rozilik ham… Islom.uz. Maqola "
342,Ustida I ,ko'makchi,post,Ko'm,vaz.ko'm,so'z shaklda,o'rin-payt,kitobiy,ot,"Choy ustida eri ruhiyasini kuzatadi, uning nechundir kayfi buzuq. Mirmuhsin, Topilgan husn."
343,Ustida II,ko'makchi,post,Ko'm,vaz.ko'm,so'z shaklda,mavzu ma'nosi,so'zlashuv,ot,Gap futbol ustida ketganda uni to'xtatib bo'lmasdi.
344,Ustidan,ko'makchi,post,Ko'm,vaz.ko'm,so'z shaklda,o'rin-payt,so'zlashuv,ot,"Domla ikki shisha pivoning ustidan yuz gramm aroqni bitta otib, o'rnidan turdi. A.Qahhor, To'yda aza."
345,Uchun I,ko'makchi,post,Ko'm,sof ko'm,so'z shaklda,maqsad-sabab,so'zlashuv,,"Ko'p yillardan buyon niyat va orzularda, xayol kengliklarida bo'y ko'rsatgan go'zal asarni yaratish uchun barcha hozirliklar ko'rib bo'lingan edi go'yo. I.Sulton, Alisher Navoiy. "
346,Uchun II,ko'makchi,post,Ko'm,sof ko'm,so'z shaklda,atalganlik,so'zlashuv,,"Yorim uchun keltiray, quchoq-quchoq gullarni… Xalq qo'shiqlari"
347,Va,bog'lovchi,conj,Bog'l,sof bog'l,so'z shaklda,biriktiruv,kitobiy,,"Uy kichkina, lekin yorug' va toza edi. Oybek, Tanlangan asarlar."
348,Va lekin,bog'lovchi,conj,Bog'l,sof bog'l,so'z shaklda,zidlov ,badiiy,,"Bolari tilida - og'zida asal, Ming bir dardga davo, xushta'm va go'zal, Va lekin dumida nish - zahari bor, Men uni unutib, ko'p bo'ldim o'sal. Azim Suyun."
349,Vaqtida,ko'makchi,post,Ko'm,vaz.ko'm,so'z shaklda,payt,betaraf,ot,"…qizlik vaqtida Nuri ularning kulbasiga juda oz chiqar edi. Oybek, Tanlangan asarlar."
350,Vajidan,ko'makchi,post,Ko'm,vaz.ko'm,so'z shaklda,sabab,kitobiy,ot,"Bilmagan odami uni tirikchilik vajidan qiynalib qolgan gumon qiladi. A.Qahhor, Asarlar."
351,Vositasida,ko'makchi,post,Ko'm,vaz.ko'm,so'z shaklda,vosita,kitobiy,ot,"…ularning [davlatmandlarning] ziyofatlari vositasida ba'zi madrasalarning mudarrislari, muharrirlari bilan ham tanishdi. A.Qodiriy, Mehrobdan chayon."
352,Vositamda,ko'makchi,post,Ko'm,vaz.ko'm,so'z shaklda,vosita,kitobiy,ot,"…faqat u mening vositamda to'yni boshlash uchun sizdan izn olgani kelgan ekan. A.Qodiriy, Mehrobdan chayon."
353,Vaholanki,bog'lovchi,conj,Bog'l,sof bog'l,so'z shaklda,zidlik,kitobiy,,"Boyvachchadan gumonim yo'q deyapsiz, vaholanki, sizni yo'ldan urgan o'sha. S.Yunosov.Kutilmagan xazina. "
354,Xoh…xoh,bog'lovchi,conj,Bog'l,sof bog'l,so'z shaklda,ayiruv-chegaralov,so'zlashuv,,"Xoh yosh, xoh qari - hamma to'plandi."
355,Xolos,yuklama,part,Yukl,sof yukl,so'z shaklda,ayiruv-chegaralov,kitobiy,,"Shoirlar aldaydi bizni, jonginam, Bahor doim emas, uch oydir xolos. A.Oripov. "
356,Xos,ko'makchi,post,Ko'm,vaz.ko'm,so'z shaklda,tegishlilik,so'zlashuv,sifat,Klara ayollarga xos chiroyli harakat bilan sochini orqasiga tashlab yubordi. O'.Hoshimov. Qalbingga quloq sol.
357, -xon,yuklama,part,Yukl,sof yukl,qo'shimchasimon,erkalash-kesatiq,so'zlashuv,,"Barnoxon, bolaginaga rahm qilsangiz bo'lardi, harqalay, siz ham onasiz, axir."
358,Xuddi,yuklama,part,Yukl,sof yukl,so'z shaklda,o'xshatish,so'zlashuv,,"Shimirib nafas oldim. Havo xuddi qalbimdagi iliqlik singari yoqimli edi. O'.Umarbekov, Sevgim-sevgilim."
359,Xususda,ko'makchi,post,Ko'm,vaz.ko'm,so'z shaklda,mavzu ma'nosi,so'zlashuv,ot,Shundan so'ng bu xuxusda boshqa bahs qilinmadi.
360, -ya,yuklama,part,Yukl,sof yukl,qo'shimchasimon,so'roq-taajjub,so'zlashuv,sof yukl,"Baraka topkur, zap fayzli ayol-da, Bemorning og'rig'ini ikki og'iz so'z bilan tuzatvoradi-ya. S.Ahmad, Azroil o'tgan yo'llarda."
361, -yam,yuklama,part,Yukl,sof yukl,qo'shimchasimon,kuchaytiruv-ta'kid,so'zlashuv,,"U otda, men yayov.Qo'limda shashpari…o'ziyam devday baquvvat, zug'umli yigit edi-da… Oybek. Bolaning ko'ngli poshsho."
362,Yagona,yuklama,part,Yukl,vaz.yukl,so'z shaklda,ayiruv-chegaralov,so'zlashuv,sifat,"Shirin afsonalar aytib yulduzlar, Yoniga chorlaydi meni yagona. R.Parfi."
363,Yakka,yuklama,part,Yukl,vaz.yukl,so'z shaklda,ayiruv-chegaralov,kitobiy,sifat,"Yolg'iz meni o'yla intizor, O'ylaringda men yashay yakka. R.Parfi"
364,Yanglig',ko'makchi,post,Ko'm,sof yukl,so'z shaklda,o'xshatish,badiiy,,"Oy va yulduzlar xuddi artib tozalangan dur yanglig' yarqirab, olamga fusun bag'ishlardi. U.Hamdam, Muvozanat."
365,Yerda I,ko'makchi,post,Ko'm,vaz.ko'm,so'z shaklda,sabab,so'zlashuv,ot,"Ro'zimat aytmoqchi, gap boshqa yerda bo'lishi ham mumkin. A.Qahhor, Qo'shchinor chiroqlari. "
366,Yerda II,ko'makchi,post,Ko'm,vaz.ko'm,so'z.shaklda,payt,so'zlashuv,ot,Kutilmagan yerda shaharning a'yonlaridan bo'lgan Salim sharbatdor deganning Komilbek ismli o'g'lidan sovchilar kelib qoldi. A.Qodiriy. O'tkan kunlar. 
367,Yerida ,ko'makchi,post,Ko'm,vaz.ko'm,so'z shaklda,o'rin,so'zlashuv,ot,"Sariq atlasni kiyishga chog'lab ko'rgan bo'lsa-da, biroq ko'ylakni olgan yerida bu fikrdan qaytdi. K.Yashin, Hamza."
368,Yo'lida,ko'makchi,post,Ko'm,vaz.ko'm,so'z shaklda,maqsad,kitobiy,ot,Jadidlar o'z qarashlari yo'lida haqiqatga tik boqqanlar. Gazetadan
369,Yo'sin,ko'makchi,post,Ko'm,vaz.ko'm,so'z shaklda,holat,badiiy,ot,"Shu yo'sin qizlar o'zlarining bir o'rtoqlarini xotinlik dunyosiga uzatib, majlisdan tarqalishdilar. A.Qodiriy, O'tkan kunlar"
370,Yo'sinda,ko'makchi,post,Ko'm,vaz.ko'm,so'z shaklda,holat,badiiy,ot,"Otabekning Marg'ilonga borib-kelishi shu yo'sinda edi. A.Qodiriy, O'tkan kunlar"
371,Yo,bog'lovchi,conj,Bog'l,vaz.bog'l,so'z shaklda,ayiruv,betaraf,undov,"Yo siz keling, yo men boray. Xalq qo'shiqlari."
372, -yoq,yuklama,part,Yukl,sof yukl,qo'shimchasimon,kuchaytiruv-ta'kid,so'zlashuv,,She'rda Omon Matjonning o'sha paytlardayoq o'z millatining tenglar ichra teng bo'lishini istagani yaqqol ko'zga tashlanadi. O.Matjon 
373,Yoki ,bog'lovchi,conj,Bog'l,sof bog'l,so'z shaklda,ayiruv,kitobiy,,"Men boraymi, yoki o'zing kelasanmi?"
374,Yoinki,bog'lovchi,conj,Bog'l,sof bog'l,so'z shaklda,ayiruv,kitobiy,,"Chamadonchamni ko'tarib, u yoqqa chopaman, bu yoqqa chopaman, qani endi, bo'yracha soya yoinki bir piyolagina yaxna topilsa!H.G'ulom, Zamin yulduzlari."
375,Yolg'iz,yuklama,part,Yukl,vaz.yukl,so'z shaklda,ayiruv-chegaralov,badiiy,sifat,"Axir men muhabbatimni ehtiyot qilolmagan, yolg'iz yaxshi ko'rish bilan kifoyalanib yurgan odamman-ku!O'.Hoshimov, Xayollarga bo'laman tutqun."
376,Yoxud,bog'lovchi,conj,Bog'l,sof bog'l,so'z shaklda,ayiruv,kitobiy,,"Bir-ikki she'r yoxud bir drama asar yozib, adabiyotning butun masalasini tushunaman, deb da'vo qiluvchi kishilar ham yo'q emasdi. N.Safarov, Olovli izlar."
377,Yoniga ,ko'makchi,post,Ko'm,vaz.ko'm,so'z shaklda,o'rin-joy,so'zlashuv,ot,"G'ulomjon o'choq yoniga o'tirib, qo'llarini isita boshladi. M.ismoiliy, Farg'ona tong otguncha. "
378,Yonida,ko'makchi,post,Ko'm,vaz.ko'm,so'z shaklda,o'rin-joy,so'zlashuv,ot," Azizbek yonida qanday mavqe tutgan bo'lsa, Normuhammad qushbegi oldida undan ham yuqoriroq va ma'noliroq e'tibor qozondi. A.Qodiriy, O'tkan kunlar."
379,Yonidan,ko'makchi,post,Ko'm,vaz.ko'm,so'z shaklda,o'rin-joy,so'zlashuv,ot,"Qo'rqib, ayamning yonidan jilmay qoldim. S.Siyoyev, Yorug'lik."
380,Yoqasiga,ko'makchi,post,Ko'm,vaz.ko'm,so'z shaklda,o'rin-joy,badiiy,ot,"Elgeldi qamishzorni oralab, ko'l yoqasiga chiqdi. A.Muxtor, Qoraqalpoq qissasi"
381,Yoqasida,ko'makchi,post,Ko'm,vaz.ko'm,so'z shaklda,o'rin-joy,badiiy,ot,"O'lim yoqasida jon olib, jon bergan yigit bu kunlarni ozmuncha o'ylaganmidi. S.Ahmad. Ufq."
382,Yoqasidan,ko'makchi,post,Ko'm,vaz.ko'm,so'z shaklda,o'rin-joy,badiiy,ot,U hayotimni jar yoqasidan olib chiqdi.
383,Yoqalab,ko'makchi,post,Ko'm,vaz.ko'm,so'z shaklda,o'rin-joy,badiiy,fe'l,"O'rmon yoqalab to'rt soat yurdik.T.Rustamov, Mangu jasorat."
384, -yu I,yuklama,part,Yukl,sof yukl,qo'shimchasimon,kuchaytiruv-ta'kid,so'zlashuv,,"Shu ham ish bo'ldi-yu! E.Raimov, Ajab qishloq."
385, -yu II,bog'lovchi,conj,Bog'l,vaz.bog'l,qo'shimchasimon,biriktiruv,so'zlashuv,yuklama,"U anchadan keyin o'ziga keldi-yu, tepasida xotini turganini, qizchalari yig'layotganini payqadi. O'.Hoshimov, Urushning so'nggi qurboni."
386, -yu III,bog'lovchi,conj,Bog'l,vaz.bog'l,qo'shimchasimon,zidlov ,so'zlashuv,yuklama,"Yo'qchilik g'ayratli, ishchan odamning eshigidan mo'ralaydi-yu, ichkariga kira olmaydi.""Hikmatnoma""dan"
387,Yuqorida,ko'makchi,post,Ko'm,vaz.ko'm,so'z shaklda,o'rin-joy,badiiy,ravish,"Uning husndagian emas,aqlda va boshqada zaynabdan necha baravar yuqorida ekanini o'yladi. A.Qodiriy"
388,Yuzida,ko'makchi,post,Ko'm,vaz.ko'm,so'z shaklda,o'rin-joy,badiiy,ot,Usmoniylar yer yuzida adolat o'rnatishni bosh maqsad qilib oldilar. 
389,Yuziga,ko'makchi,post,Ko'm,vaz.ko'm,so'z shaklda,o'rin-joy,badiiy,ot,"Ko'k yuziga qadalgan yuduzimsan, yulduzim.Qo'shiqdan"
390,Yuzidan,ko'makchi,post,Ko'm,vaz.ko'm,so'z shaklda,sabab,badiiy,ot,Odob yuzidan gap qaytarmaydilar. Gazetadan
391,Yuzasidan,ko'makchi,post,Ko'm,vaz.ko'm,so'z shaklda,sabab,ilmiy,ot,"Valixon hurmat yuzasidan ta'zim qilib, unga haligi qog'ozni uzatdi. "
392,Yarasha,ko'makchi,post,Ko'm,vaz.ko'm,so'z shaklda,qiyoslash,so'zlashuv,," -Bizda ilg'orlar ishiga yarasha hurmatdaligini yaxshi bilasan , -dedi Yo'ldosh Saidga. A.Muxtor.Chinor."
393,Yakka,yuklama,part,Yukl,vaz.yukl,so'z shaklda,ayiruv-chegaralov,kitobiy,sifat,"Yolg'iz meni o'yla intizor, O'ylaringda men yashay yakka. R.Parfi"
394,Yana,yuklama,part,Yukl,vaz.yukl,so'z shaklda,kuchaytiruv-ta'kid,so'zlashuv,ravish,"Siz ham eski muallimga o'xshab ketib qolmang, yana.R.Tursun.O'qituvchi."
395,Ya'ni,bog'lovchi,conj,Bog'l,sof bog'l,so'z shaklda,aniqlov,kitobiy,,"Ota-onam orzusi ushalib, ilgarigi Nazirqul endi Nazir afandi, ya'ni o'qituvchi bo'lib qolgan edim. N.Safarov. Jasoratning davomi."
396,Ya'nikim,bog'lovchi,conj,Bog'l,sof bog'l,so'z shaklda,aniqlov,badiiy,," Dil ba yor-u, dast ba kor va ya'nikim, Dil yor bilan, qo'l ish bilan band bo'lsin. A.Suyun     "
397,Yaqin,ko'makchi,post,Ko'm,vaz.ko'm,so'z shaklda,daraja-miqdor,so'zlashuv,ravish,"Bir kuni ikki kishining  so'rog'iyaqin to'rt soat vaqtni oldi.A.Qahhor, Sarob."
398,Yaqiniga,ko'makchi,post,Ko'm,vaz.ko'm,so'z shaklda,o'rin-joy,kitobiy,ravish,"Ra'no kelinlarcha Anvarga salom qildi va jazb qilgandek, Anvarning yaqiniga borib to'xtadi. A.Qodiriy, Mehrobdan chayon"
399,Yaqinida,ko'makchi,post,Ko'm,vaz.ko'm,so'z shaklda,o'rin-joy,kitobiy,ravish,"Bu ikki xonalik uy yangi qurilayotgan maktab yaqinida. H.Nazar, So'nmas chaqmoqlar."
400,Yaqinidan,ko'makchi,post,Ko'm,vaz.ko'm,so'z shaklda,o'rin-joy,kitobiy,ravish,O'rtog'imning uylari yaqinidan soy oqib o'tadi. Gazetadan
401, -yey,yuklama,part,Yukl,vaz.yukl,qo'shimchasimon,kuchaytiruv-ta'kid,so'zlashuv,undov," Ko'chada sen bilan yetaklashib yuradigan xotinga balli-yey! - dedi Zumrad. S.Siyoyev, Otliq ayol."
402,Zab,yuklama,part,Yukl,vaz.yukl,so'z shaklda,kuchaytiruv-ta'kid,so'zlashuv,ravish," zab vaqtida keldingiz-da, -dedi bir kun Farmonqul aka Qobilovga. S.Mahkamov. Shogird."
403,Zap,yuklama,part,Yukl,sof yukl,so'z shaklda,kuchaytiruv-ta'kid,so'zlashuv,,"Baraka topkur, zap fayzli ayol-da, Bemorning og'rig'ini ikki og'iz so'z bilan tuzatvoradi-ya. S.Ahmad, Azroil o'tgan yo'llarda."
404,Zero,bog'lovchi,conj,Bog'l,sof bog'l,so'z shaklda,sabab,badiiy,,"Zero, xalq shunday bir daryoyi azimki, u toshsa, na shohning qasri, na darveshning kulbasi qolur. Oybek, Navoiy"
405,Zeroki,bog'lovchi,conj,Bog'l,sof bog'l,so'z shaklda,sabab,badiiy,,"Bu og'ir musibat bo'ldi, zeroki olimning ayriliqlarning eng yomonidir. I.Sulton, Alisher Navoiy."
406,Zinhor,yuklama,part,Yukl,sof yukl,so'z shaklda,inkor ,kitobiy,,"Birovning aybiga kulmagin zinhor, Sening ham aybingga kuluvchilar bor.Maqol"
407,Zora ,yuklama,part,Yukl,sof yukl,so'z shaklda,xohish-istak,so'zlashuv,,"Zora amirzodalar yarashishsa, juda ma'qul ish bo'lardi-da, - dedi Me'mor. Mirmuhsin, Me'mor."
408,Zora-mora,yuklama,part,Yukl,sof yukl,so'z shaklda,xohish-istak,so'zlashuv,,"Zora-mora xon bizga kattaroq in'om bersa, - debdi-da, shaharga jo'nab ketibdi. Oltin baliq(Ertakdan)"
409,O'lgur,yuklama,part,Yukl,vaz.yukl,so'z shaklda,kuchaytiruv-ta'kid,so'zlashuv,fe'l,"Rohilabuvi o'lgur, tikib kiyib olsa bo'ladimi? A.Qahhor. Qo'shchinor chiroqlari."
410,O'zga,ko'makchi,post,Ko'm,vaz.ko'm,so'z shaklda,ayiruv-chegaralov,so'zlashuv,sifat,"Qaydam buning to'g'ri-noto'g'riligini Oybek domla tirik bo'lganida , o'zlaridan so'rash mumkin edi - bugun esa ishonmoqdan o'zga chorangiz yo'q.E.A'zam, Jannat o'zi qaydadir."
411,O'rniga,ko'makchi,post,Ko'm,vaz.ko'm,so'z shaklda,zidlik-qiyos,so'zlashuv,ot,Lekin yechinish o'rniga shoshilib portfelini oldi. S. Zununova.
412,O'rnida,ko'makchi,post,Ko'm,vaz.ko'm,so'z shaklda,o'rin-joy,so'zlashuv,ot,Bu kunki qorachopon va qipchoq nizolarini sizga bir timsol o'rnida ko'rsatayin.A.Qodiriy. O'tkan kunlar
413,O'rningga,ko'makchi,post,Ko'm,vaz.ko'm,so'z shaklda,zidlik-qiyos,so'zlashuv,fe'l,"Sening o'rningga it boqsam bo'lmasmidi? S.Ahmad, Ufq"
414,O'rtada,ko'makchi,post,Ko'm,vaz.ko'm,so'z shaklda,o'rin-joy,so'zlashuv,ot,"Ikki o'rtada qizimga jabr bo'lmasa go'rga edi. I.Rahim, Chin muhabbat"
415,O'rtaga,ko'makchi,post,Ko'm,vaz.ko'm,so'z shaklda,o'rin-joy,so'zlashuv,ot,Er-xotin munosabatlarida o'rtaga begonalarning aralashuvi insoniylikdan emas.
416,O'rtadan ,ko'makchi,post,Ko'm,vaz.ko'm,so'z shaklda,o'rin-joy,so'zlashuv,ot,"Shu masalani o'rtadan ko'tarmasak ko'p tashvish keltiradigandek, nazarimda."
417,O'rtasiga,ko'makchi,post,Ko'm,vaz.ko'm,so'z shaklda,o'rin-joy,so'zlashuv,ot,"Gavhar shoshilmay o'tib Zulayxo bilan Abduxalilning o'rtasiga o'tirdi.O'.Hoshimov, Qalbingga quloq sol."
418,O'rtasida,ko'makchi,post,Ko'm,vaz.ko'm,so'z shaklda,o'rin-joy,so'zlashuv,ot,"Tojiboy qizining yo'qolganidan ko'ra odamlar o'rtasida isnodga qolishdan qo'rqardi. S.Zununova, Gulxan."
419,O'rtasidan,ko'makchi,post,Ko'm,vaz.ko'm,so'z shaklda,o'rin-joy,so'zlashuv,ot,"Shirmonjon olomon o'rtasidan sug'urilib chiqdi. S.Zununnova, Olov."
420,O'ta,yuklama,part,Yukl,sof yukl,so'z shaklda,kuchaytiruv-ta'kid,so'zlashuv,,"Iskandarning yetti nomusi yerga bukildi. Nazarida Otinoyi kelinining boshidan sochgan sochqilar ham, pishirgan moxorasi ham o'ta bachkana, o'ta g'arib ko'rinar edi.O'.Hoshimov, Hikoyalar"
421,O'xshab,ko'makchi,post,Ko'm,vaz.ko'm,so'z shaklda,o'xshatish,so'zlashuv,fe'l,"Podadan qochgan buzoqqa o'xshab, duch kelgan eshikka boshingni tiqaverasanmi?!Oybek. Tanlangan asarlar"
422,O'xshagan,ko'makchi,post,Ko'm,vaz.ko'm,so'z shaklda,o'xshatish,so'zlashuv,fe'l,"Yaqinroq borib qarasa, uning boshi qiyshaygan, chekkasidan uvadaga o'xshagan bir narsa chiqib turibdi. A.Qahhor, Oltin yulduz."
423,O'xshash,ko'makchi,post,Ko'm,vaz.ko'm,so'z shaklda,o'xshatish,so'zlashuv,sifat,"To'polon orasida xotinning surnayga o'xshash ingichka ovozi o'qtin-o'qtin eshitilib qolardi. S.Ahmad, Osmonning onasi."
424,G'arq,yuklama,part,Yukl,vaz.yukl,so'z shaklda,kuchaytiruv-ta'kid,kitobiy,fe'l,Hozir ayni g'arq pishiqchilik payti. Gazetadan
425,G'irt,yuklama,part,Yukl,sof yukl,so'z shaklda,kuchaytiruv-ta'kid,so'zlashuv,taqlid so'z,"Bittasi Avvalbek bo'lsa, u - g'irt piyonista.M.M.Do'st, Lolazor."
426,G'oyat,yuklama,part,Yukl,sof yukl,so'z shaklda,kuchaytiruv-ta'kid,badiiy,,"Uyimiz g'oyat shinam, Hammaga joy bor, Mehmonlar yulduz bo'lsa, o'rtada oy bor. Maqsud Shayxzoda."
427,G'oyatda,yuklama,part,Yukl,sof yukl,so'z shaklda,kuchaytiruv-ta'kid,badiiy,,"Umid g'oyatda xursand, orderni olgan kuniyoq darrov ko'chib ketdi. Mirmuhsin, Umid."
428,Shuning uchun,bog'lovchi,conj,Bog'l,vaz.bog'l,birikma shaklida,sabab,kitobiy,ko'makchili qurilma,"Meni oddiy yomg'ir deysiz, Bilmaysizki, sozandaman.Sozandani sevar hamma, Shuning uchun arzandaman.A.Obidjon."
429,Chandon,yuklama,part,Yukl,vaz.yukl,so'z shaklda,kuchaytiruv-ta'kid,badiiy,ravish,"Biroq u - ilg'angan asar.Ilg'angan-u unutilganlari yozilganlaridan chandon ko'p.I.Sulton, Hazrati Majoz."
430, -cha,yuklama,part,Yukl,vaz.yukl,qo'shimchasimon,kuchaytiruv-ta'kid,so'zlashuv,ot.erk.shakli,"Ana, ko'rmaysanmi, bu qanday do'ndiqcha! Shunaqa do'ndiqchasiga uylansam. Mirmuhsin, Umid."
431, -chi,yuklama,part,Yukl,sof yukl,qo'shimchasimon,so'roq-taajjub,so'zlashuv,," - Yomon niyat yoqmaydimi senga, o'sha paytda meni yomonotliq qilganlaring-chi? T.Malik, Xazonrezgi."
432, -chun,ko'makchi,post,Ko'm,sof ko'm,qo'shimchasimon,maqsad-sabab,badiiy,," Yurtim, seni faqat boyliklaring-chun Sevgan farzand bo'lsa, kechirma aslo!"
433,Chunki,bog'lovchi,conj,Bog'l,sof bog'l,so'z shaklda,sabab,betaraf,,"Ana Xidir polvonni chin erkak desa bo'ladi! Chunki ota-bovasining hunarini yerda qoldirmayapti. T.Murod, Yulduzlar mangu yonadi. "
434,Chegarasida,ko'makchi,post,Ko'm,vaz.ko'm,so'z shaklda,o'rin-joy,kitobiy,ot,Odob chegarasida gaplashgin..So'zlashuvdan
